Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
116,116,"APO,APP,BF-B,BKR,CDW,CHD,FITB,PAYX,SWK,WFC",2021-09-17,2021-09-24,1,mean_variance,-0.000558129327421854,-0.0004976987838745117
117,117,"CHD,COR,GPN,INTC,STE,SWK,TRV,VRT,VST,VTR",2022-03-11,2022-03-18,1,equal_weight,-0.0013316447199502185,-0.001329183578491211
118,118,"APA,GPN,IQV,LMT,MCHP,PANW,PAYX,SBAC,VRTX,WDC",2022-09-09,2022-09-16,1,min_variance,0.00936457032865221,0.00936657190322876
119,119,"BIIB,CDW,EQIX,ETR,FTNT,HAS,MCHP,PAYX,RF,SATS",2022-01-28,2022-02-04,1,equal_weight,-0.0020540885351079405,-0.001999497413635254
120,120,"ACGL,APP,COR,FTNT,NCLH,OKE,RSG,SBAC,TRV,VST",2023-08-11,2023-08-18,1,min_variance,0.0006162754415983615,0.0006198287010192871
121,121,"APP,COR,FCX,FITB,HSIC,INTC,MSI,PAYX,WFC,WY",2024-09-13,2024-09-20,1,mean_variance,0.007664280207351749,0.007663249969482422
122,122,"AWK,BR,CDW,CHD,ES,FITB,FTNT,GPN,NTAP,STE",2024-08-16,2024-08-23,1,mean_variance,0.0015050858424839973,0.0015060901641845703
123,123,"APA,APP,BIIB,BKR,BR,OMC,POOL,PSA,SJM,TRV",2023-10-06,2023-10-13,1,mean_variance,0.0013643787558540025,0.0013813972473144531
124,124,"APO,APP,CARR,CPRT,HCA,HSIC,LH,NVR,PSX,VTR",2025-08-01,2025-08-08,1,mean_variance,0.024604888057658408,0.024603605270385742
125,125,"EXE,FCX,HAS,IQV,KKR,LLY,POOL,USB,WDC,XYL",2024-03-15,2024-03-22,1,mean_variance,0.004589995309857911,0.004594326019287109
126,126,"APA,BIIB,CHD,GPN,NCLH,PANW,RF,STE,USB,WY",2021-11-26,2021-12-03,1,min_variance,0.008655338833646655,0.008681237697601318
127,127,"ESS,FITB,GPN,HAS,IBM,IQV,MSI,OKE,POOL,VTR",2025-02-21,2025-02-28,1,min_variance,0.0028510439497028187,0.0028496980667114258
128,128,"BF-B,CDW,EXE,FTNT,HAS,LH,PH,TTD,WDC,WY",2024-03-28,2024-04-05,1,mean_variance,0.023639619814645206,0.0236358642578125
129,129,"APP,BIIB,CHD,MSI,NWSA,OKE,TAP,TRV,WDC,WFC",2024-07-12,2024-07-19,1,min_variance,0.00023794506974630312,0.00028139352798461914
130,130,"APA,BF-B,CDW,FTNT,MCHP,NVR,PSX,TMO,VST,WFC",2024-03-15,2024-03-22,1,mean_variance,0.011645732031566767,0.011640548706054688
131,131,"APP,ETR,FCX,GPN,MSI,STE,SWK,TAP,VTR,WFC",2024-02-23,2024-03-01,1,mean_variance,0.010964940584872924,0.010978102684020996
132,132,"AWK,CMS,NDAQ,PSX,STE,TRV,USB,VRTX,WDC,WFC",2021-12-17,2021-12-23,1,mean_variance,0.006809548643612631,0.006817221641540527
133,133,"DHI,GS,HSIC,LMT,NDAQ,PAYX,USB,VRTX,VST,WDC",2024-03-08,2024-03-15,1,min_variance,0.003525052526176215,0.0035291314125061035
134,134,"AME,AWK,ESS,EXE,LMT,MAR,NWSA,PAYX,SWK,VST",2025-04-17,2025-04-25,1,equal_weight,-0.00110626747510701,-0.0011087656021118164
135,135,"APA,BR,DHI,INTC,LMT,MDLZ,MSI,POOL,VST,VTR",2022-12-23,2022-12-30,1,mean_variance,0.0006771708358673549,0.0006935000419616699
136,136,"BF-B,CMS,CPRT,ES,GS,HCA,NDAQ,RSG,TMO,WDC",2024-05-17,2024-05-24,1,mean_variance,0.01342724957953702,0.013421237468719482
137,137,"APA,APO,CMS,FSLR,GOOG,IQV,LLY,OMC,VTR,WDC",2021-09-03,2021-09-10,1,mean_variance,0.00717943075778311,0.007181048393249512
